locationId,location,parameter,value,dateUtc,dateLocal,unit,latitude,longitude,country,city,isMobile,isAnalysis,entity,sensorType
155,"London N. Kensington","o3",47.3,"2023-10-17T17:00:00+00:00","2023-10-17T18:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","no2",21.8,"2023-10-17T17:00:00+00:00","2023-10-17T18:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","pm25",4.9,"2023-10-17T16:00:00+00:00","2023-10-17T17:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","o3",52.9,"2023-10-17T16:00:00+00:00","2023-10-17T17:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","no2",19.1,"2023-10-17T16:00:00+00:00","2023-10-17T17:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","co",200,"2023-10-17T16:00:00+00:00","2023-10-17T17:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","so2",1.3,"2023-10-17T16:00:00+00:00","2023-10-17T17:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","so2",1.6,"2023-10-17T15:00:00+00:00","2023-10-17T16:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","o3",56.3,"2023-10-17T15:00:00+00:00","2023-10-17T16:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","no2",16.1,"2023-10-17T15:00:00+00:00","2023-10-17T16:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","pm25",4.5,"2023-10-17T15:00:00+00:00","2023-10-17T16:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","co",200,"2023-10-17T15:00:00+00:00","2023-10-17T16:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","pm25",4.6,"2023-10-17T14:00:00+00:00","2023-10-17T15:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","o3",58.1,"2023-10-17T14:00:00+00:00","2023-10-17T15:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","co",200,"2023-10-17T14:00:00+00:00","2023-10-17T15:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","so2",1.6,"2023-10-17T14:00:00+00:00","2023-10-17T15:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","no2",15.5,"2023-10-17T14:00:00+00:00","2023-10-17T15:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","co",200,"2023-10-17T13:00:00+00:00","2023-10-17T14:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","pm25",5,"2023-10-17T13:00:00+00:00","2023-10-17T14:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","no2",15,"2023-10-17T13:00:00+00:00","2023-10-17T14:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","pm10",11,"2023-10-17T13:00:00+00:00","2023-10-17T14:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","o3",40,"2023-10-17T13:00:00+00:00","2023-10-17T14:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","so2",1,"2023-10-17T13:00:00+00:00","2023-10-17T14:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","pm25",4.4,"2023-10-17T12:00:00+00:00","2023-10-17T13:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","so2",1.1,"2023-10-17T12:00:00+00:00","2023-10-17T13:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","o3",57.1,"2023-10-17T12:00:00+00:00","2023-10-17T13:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","no2",14.5,"2023-10-17T12:00:00+00:00","2023-10-17T13:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","co",200,"2023-10-17T12:00:00+00:00","2023-10-17T13:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","co",200,"2023-10-17T11:00:00+00:00","2023-10-17T12:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
155,"London N. Kensington","o3",38,"2023-10-17T11:00:00+00:00","2023-10-17T12:00:00+01:00","µg/m³",51.52105,-0.21349199999999996,"GB","",false,"","Governmental Organization","reference grade"
